image,bin
ISIC_0000000.JPG,0
ISIC_0000023.JPG,1
ISIC_0000025.JPG,1
ISIC_0000026.JPG,0
ISIC_0000033.JPG,0
ISIC_0000035.JPG,1
ISIC_0000037.JPG,1
ISIC_0000046.JPG,0
ISIC_0000053.JPG,0
ISIC_0000056.JPG,1
ISIC_0000059.JPG,0
ISIC_0000061.JPG,0
ISIC_0000063.JPG,0
ISIC_0000066.JPG,1
ISIC_0000070.JPG,0
ISIC_0000073.JPG,0
ISIC_0000076.JPG,1
ISIC_0000094.JPG,0
ISIC_0000106.JPG,0
ISIC_0000109.JPG,0
ISIC_0000116.JPG,0
ISIC_0000117.JPG,0
ISIC_0000127.JPG,0
ISIC_0000132.JPG,0
ISIC_0000141.JPG,0
ISIC_0000150.JPG,0
ISIC_0000152.JPG,0
ISIC_0000187.JPG,0
ISIC_0000189.JPG,0
ISIC_0000191.JPG,0
ISIC_0000207.JPG,0
ISIC_0000213.JPG,0
ISIC_0000216.JPG,0
ISIC_0000227.JPG,0
ISIC_0000231.JPG,0
ISIC_0000233.JPG,0
ISIC_0000234.JPG,0
ISIC_0000236.JPG,0
ISIC_0000237.JPG,0
ISIC_0000275.JPG,0
ISIC_0000281.JPG,0
ISIC_0000285.JPG,0
ISIC_0000302.JPG,1
ISIC_0000307.JPG,0
ISIC_0000312.JPG,0
ISIC_0000317.JPG,0
ISIC_0000319.JPG,0
ISIC_0000323.JPG,0
ISIC_0000324.JPG,0
ISIC_0000325.JPG,0
ISIC_0000326.JPG,0
ISIC_0000327.JPG,0
ISIC_0000340.JPG,0
ISIC_0000362.JPG,0
ISIC_0000367.JPG,0
ISIC_0000368.JPG,0
ISIC_0000372.JPG,0
ISIC_0000375.JPG,0
ISIC_0000378.JPG,0
ISIC_0000379.JPG,0
ISIC_0000385.JPG,0
ISIC_0000396.JPG,0
ISIC_0000398.JPG,1
ISIC_0000404.JPG,0
ISIC_0000405.JPG,0
ISIC_0000414.JPG,1
ISIC_0000417.JPG,1
ISIC_0000419.JPG,0
